[2023-12-16 17:53:13] Successful login - User: , IP: ::1
[2023-12-16 17:53:42] Failed login attempt - User: , IP: ::1
[2023-12-16 21:34:54] Successful login - User: , IP: ::1
[2023-12-17 02:38:10] Successful login - User: , IP: ::1
[2023-12-17 02:47:55] Successful login - User: , IP: ::1
[2023-12-18 19:39:11] Successful login - User: , IP: ::1
[2023-12-18 19:48:48] Successful login - User: , IP: ::1
[2023-12-18 19:53:05] Successful login - User: , IP: ::1
[2023-12-18 20:00:03] Successful login - User: , IP: ::1
[2023-12-18 20:06:36] Successful login - User: , IP: ::1
[2023-12-18 20:12:25] Successful login - User: , IP: ::1
[2023-12-18 20:28:52] Successful login - User: , IP: ::1
[2023-12-18 20:34:53] Successful login - User: , IP: ::1
[2023-12-18 23:45:09] Successful login - User: , IP: ::1
[2023-12-19 00:25:38] Successful login - User: , IP: ::1
[2023-12-19 00:56:13] Successful login - User: , IP: ::1
[2023-12-19 01:03:36] Successful login - User: , IP: ::1
[2023-12-19 01:14:21] Successful login - User: , IP: ::1
[2023-12-19 01:22:12] Successful login - User: , IP: ::1
[2023-12-19 01:38:15] Successful login - User: , IP: ::1
[2023-12-19 02:04:30] Successful login - User: , IP: ::1
[2023-12-19 02:15:28] Successful login - User: , IP: ::1
[2023-12-19 02:24:42] Successful login - User: , IP: ::1
[2023-12-19 02:32:12] Successful login - User: , IP: ::1
[2023-12-19 02:58:59] Successful login - User: , IP: ::1
[2023-12-19 03:05:04] Successful login - User: , IP: ::1
[2023-12-19 04:06:03] Successful login - User: , IP: ::1
[2023-12-19 04:16:48] Successful login - User: , IP: ::1
[2023-12-19 04:43:38] Failed login attempt - User: , IP: ::1
[2023-12-19 04:43:56] Failed login attempt - User: , IP: ::1
[2023-12-19 04:47:28] Successful login - User: , IP: ::1
[2023-12-19 05:05:37] Successful login - User: , IP: ::1
[2023-12-19 05:10:10] Failed login attempt - User: , IP: ::1
[2023-12-19 05:10:33] Failed login attempt - User: , IP: ::1
[2023-12-19 05:11:27] Failed login attempt - User: , IP: ::1
[2023-12-19 05:11:50] Successful login - User: , IP: ::1
[2023-12-19 23:36:35] Successful login - User: , IP: ::1
[2023-12-20 00:35:29] Successful login - User: , IP: ::1
[2023-12-20 16:37:23] Successful login - User: , IP: ::1
[2023-12-21 06:25:37] Successful login - User: , IP: ::1
[2023-12-22 04:37:00] Successful login - User: , IP: ::1
[2023-12-22 04:39:26] Successful login - User: , IP: ::1
[2023-12-22 04:43:08] Failed login attempt - User: , IP: ::1
[2023-12-22 04:43:22] Successful login - User: , IP: ::1
[2023-12-22 04:49:07] Successful login - User: , IP: ::1
[2023-12-22 04:51:21] Successful login - User: , IP: ::1
[2023-12-22 04:58:16] Successful login - User: , IP: ::1
